ENDPOINT,pos_weight,AUC,ACC,BACC,TN,TP,FP,FN,PR,RC,F1
NR-PPAR-gamma,10.0,0.8572274881516588,0.9614791987673343,0.6756516587677726,0.9763,0.375,0.0237,0.625,0.9406,0.375,0.3243
SR-HSE,10.0,0.8296824104234526,0.918960244648318,0.6880700325732899,0.9511,0.425,0.0489,0.575,0.8969,0.425,0.3908
NR-AR-LBD,10.0,0.903820816864295,0.9677891654465594,0.8574440052700922,0.9758,0.7391,0.0242,0.2609,0.9682,0.7391,0.6071
NR-ER,10.0,0.6966346969954168,0.7870662460567823,0.6807630283483279,0.8266,0.5349,0.1734,0.4651,0.7552,0.5349,0.4053
SR-ARE,10.0,0.8053700065487885,0.7362270450751253,0.7579022047587862,0.7269,0.7889,0.2731,0.2111,0.7429,0.7889,0.4733
SR-MMP,10.0,0.8908963585434173,0.8392226148409894,0.8278244631185807,0.8445,0.8111,0.1555,0.1889,0.8392,0.8111,0.616
NR-AhR,10.0,0.8218190498925758,0.8426626323751891,0.7631893053234662,0.8644,0.662,0.1356,0.338,0.83,0.662,0.4747
NR-ER-LBD,10.0,0.843188622754491,0.953125,0.7387724550898204,0.9775,0.5,0.0225,0.5,0.957,0.5,0.5217
SR-ATAD5,10.0,0.8885208050996336,0.952513966480447,0.6449831852632636,0.9796,0.3103,0.0204,0.6897,0.9384,0.3103,0.3462
SR-p53,10.0,0.77796875,0.9264705882352942,0.73828125,0.9516,0.525,0.0484,0.475,0.9155,0.525,0.4565
NR-AR,15.0,0.8318368716958967,0.9496598639455782,0.8056977427204833,0.9643,0.6471,0.0357,0.3529,0.9478,0.6471,0.5432
NR-Aromatase,15.0,0.802954691437324,0.886986301369863,0.7254805079302338,0.9104,0.5405,0.0896,0.4595,0.8578,0.5405,0.3774
NR-PPAR-gamma,15.0,0.8084518167456556,0.9722650231124808,0.6507207740916272,0.9889,0.3125,0.0111,0.6875,0.9658,0.3125,0.3571
